run,seed,condition,iteration,phase,step,scope,mse,denominator,relative,timing
run-00-C0,410031,C0,0,targets,before_all,64x180,0.039278961761804676,0.0060526259780214284,6.4895736006877405,pre_update
run-00-C0,410031,C0,0,critic,0,16x180,0.041915107177245364,0.003475876239061008,12.058860642451567,pre_current_step_logged_after
run-00-C0,410031,C0,0,critic,1,16x180,0.027303983704843552,0.004454186347844673,6.129959901218686,pre_current_step_logged_after
run-00-C0,410031,C0,0,critic,2,16x180,0.03305467624991864,0.007097957176761884,4.656928102938811,pre_current_step_logged_after
run-00-C0,410031,C0,0,critic,3,16x180,0.03410631061467633,0.009182484148418152,3.7142792803570215,pre_current_step_logged_after
run-00-C0,410031,C0,0,critic,4,16x180,0.03791059155581769,0.0058936538103572245,6.432442891232505,pre_current_step_logged_after
run-00-C0,410031,C0,0,critic,5,16x180,0.018655982764720098,0.004875656314052533,3.826353123158034,pre_current_step_logged_after
run-00-C0,410031,C0,0,critic,6,16x180,0.02076551061921059,0.007059938167925239,2.9413162162740467,pre_current_step_logged_after
run-00-C0,410031,C0,0,critic,7,16x180,0.016289697282603433,0.006381255619750721,2.5527416943124708,pre_current_step_logged_after
run-00-C0,410031,C0,1,targets,before_all,64x180,0.018835583605343712,0.004744082908880082,3.9703318780721224,pre_update
run-00-C0,410031,C0,1,critic,0,16x180,0.018759774207539978,0.003462372584432607,5.418184712958677,pre_current_step_logged_after
run-00-C0,410031,C0,1,critic,1,16x180,0.015185245424478955,0.006080431189548976,2.497396146934333,pre_current_step_logged_after
run-00-C0,410031,C0,1,critic,2,16x180,0.018566521472253936,0.005577747878100268,3.328677071466617,pre_current_step_logged_after
run-00-C0,410031,C0,1,critic,3,16x180,0.01222406415184199,0.003855779983438475,3.17032201120068,pre_current_step_logged_after
run-00-C0,410031,C0,1,critic,4,16x180,0.012747073005983989,0.004675430360141896,2.7263956521848662,pre_current_step_logged_after
run-00-C0,410031,C0,1,critic,5,16x180,0.011976096138672683,0.0050550109666452426,2.369153344610965,pre_current_step_logged_after
run-00-C0,410031,C0,1,critic,6,16x180,0.00888035358144357,0.003264555508361364,2.7202335995509053,pre_current_step_logged_after
run-00-C0,410031,C0,1,critic,7,16x180,0.011745474787931443,0.005981334800371826,1.9636879024396516,pre_current_step_logged_after
run-01-C5,410031,C5,0,targets,before_all,64x180,0.039278961761804676,0.0060526259780214284,6.4895736006877405,pre_update
run-01-C5,410031,C5,0,critic,0,16x180,0.041915107177245364,0.003475876239061008,12.058860642451567,pre_current_step_logged_after
run-01-C5,410031,C5,0,critic,1,16x180,0.027303983704843552,0.004454186347844673,6.129959901218686,pre_current_step_logged_after
run-01-C5,410031,C5,0,critic,2,16x180,0.03305467624991864,0.007097957176761884,4.656928102938811,pre_current_step_logged_after
run-01-C5,410031,C5,0,critic,3,16x180,0.03410631061467633,0.009182484148418152,3.7142792803570215,pre_current_step_logged_after
run-01-C5,410031,C5,0,critic,4,16x180,0.03791059155581769,0.0058936538103572245,6.432442891232505,pre_current_step_logged_after
run-01-C5,410031,C5,0,critic,5,16x180,0.018655982764720098,0.004875656314052533,3.826353123158034,pre_current_step_logged_after
run-01-C5,410031,C5,0,critic,6,16x180,0.02076551061921059,0.007059938167925239,2.9413162162740467,pre_current_step_logged_after
run-01-C5,410031,C5,0,critic,7,16x180,0.016289697282603433,0.006381255619750721,2.5527416943124708,pre_current_step_logged_after
run-01-C5,410031,C5,1,targets,before_all,64x180,0.018835583605343712,0.004744082908880082,3.9703318780721224,pre_update
run-01-C5,410031,C5,1,critic,0,16x180,0.018759774207539978,0.003462372584432607,5.418184712958677,pre_current_step_logged_after
run-01-C5,410031,C5,1,critic,1,16x180,0.015185245424478955,0.006080431189548976,2.497396146934333,pre_current_step_logged_after
run-01-C5,410031,C5,1,critic,2,16x180,0.018566521472253936,0.005577747878100268,3.328677071466617,pre_current_step_logged_after
run-01-C5,410031,C5,1,critic,3,16x180,0.01222406415184199,0.003855779983438475,3.17032201120068,pre_current_step_logged_after
run-01-C5,410031,C5,1,critic,4,16x180,0.012747073005983989,0.004675430360141896,2.7263956521848662,pre_current_step_logged_after
run-01-C5,410031,C5,1,critic,5,16x180,0.011976096138672683,0.0050550109666452426,2.369153344610965,pre_current_step_logged_after
run-01-C5,410031,C5,1,critic,6,16x180,0.00888035358144357,0.003264555508361364,2.7202335995509053,pre_current_step_logged_after
run-01-C5,410031,C5,1,critic,7,16x180,0.011745474787931443,0.005981334800371826,1.9636879024396516,pre_current_step_logged_after
run-02-C10,410031,C10,0,targets,before_all,64x180,0.039278961761804676,0.0060526259780214284,6.4895736006877405,pre_update
run-02-C10,410031,C10,0,critic,0,16x180,0.041915107177245364,0.003475876239061008,12.058860642451567,pre_current_step_logged_after
run-02-C10,410031,C10,0,critic,1,16x180,0.027303983704843552,0.004454186347844673,6.129959901218686,pre_current_step_logged_after
run-02-C10,410031,C10,0,critic,2,16x180,0.03305467624991864,0.007097957176761884,4.656928102938811,pre_current_step_logged_after
run-02-C10,410031,C10,0,critic,3,16x180,0.03410631061467633,0.009182484148418152,3.7142792803570215,pre_current_step_logged_after
run-02-C10,410031,C10,0,critic,4,16x180,0.03791059155581769,0.0058936538103572245,6.432442891232505,pre_current_step_logged_after
run-02-C10,410031,C10,0,critic,5,16x180,0.018655982764720098,0.004875656314052533,3.826353123158034,pre_current_step_logged_after
run-02-C10,410031,C10,0,critic,6,16x180,0.02076551061921059,0.007059938167925239,2.9413162162740467,pre_current_step_logged_after
run-02-C10,410031,C10,0,critic,7,16x180,0.016289697282603433,0.006381255619750721,2.5527416943124708,pre_current_step_logged_after
run-02-C10,410031,C10,1,targets,before_all,64x180,0.018835583605343712,0.004744082908880082,3.9703318780721224,pre_update
run-02-C10,410031,C10,1,critic,0,16x180,0.018759774207539978,0.003462372584432607,5.418184712958677,pre_current_step_logged_after
run-02-C10,410031,C10,1,critic,1,16x180,0.015185245424478955,0.006080431189548976,2.497396146934333,pre_current_step_logged_after
run-02-C10,410031,C10,1,critic,2,16x180,0.018566521472253936,0.005577747878100268,3.328677071466617,pre_current_step_logged_after
run-02-C10,410031,C10,1,critic,3,16x180,0.01222406415184199,0.003855779983438475,3.17032201120068,pre_current_step_logged_after
run-02-C10,410031,C10,1,critic,4,16x180,0.012747073005983989,0.004675430360141896,2.7263956521848662,pre_current_step_logged_after
run-02-C10,410031,C10,1,critic,5,16x180,0.011976096138672683,0.0050550109666452426,2.369153344610965,pre_current_step_logged_after
run-02-C10,410031,C10,1,critic,6,16x180,0.00888035358144357,0.003264555508361364,2.7202335995509053,pre_current_step_logged_after
run-02-C10,410031,C10,1,critic,7,16x180,0.011745474787931443,0.005981334800371826,1.9636879024396516,pre_current_step_logged_after
run-03-C5,410047,C5,0,targets,before_all,64x180,0.09093033073352517,0.004609685523910282,19.725929298619754,pre_update
run-03-C5,410047,C5,0,critic,0,16x180,0.07507954595951329,0.004816272820408856,15.588723637366485,pre_current_step_logged_after
run-03-C5,410047,C5,0,critic,1,16x180,0.07502750067844417,0.006280805786102221,11.945521519621,pre_current_step_logged_after
run-03-C5,410047,C5,0,critic,2,16x180,0.09417063420091668,0.0036527209720262767,25.78095477921965,pre_current_step_logged_after
run-03-C5,410047,C5,0,critic,3,16x180,0.07629000367205507,0.003688942517103773,20.680724440225525,pre_current_step_logged_after
run-03-C5,410047,C5,0,critic,4,16x180,0.06129462656440996,0.0049132966757060885,12.475254520550873,pre_current_step_logged_after
run-03-C5,410047,C5,0,critic,5,16x180,0.06351808462843328,0.0032384710313442663,19.613602843335418,pre_current_step_logged_after
run-03-C5,410047,C5,0,critic,6,16x180,0.04318958532340022,0.005280457832431714,8.179136486638868,pre_current_step_logged_after
run-03-C5,410047,C5,0,critic,7,16x180,0.056871639551965586,0.005006516556159059,11.359522916587904,pre_current_step_logged_after
run-03-C5,410047,C5,1,targets,before_all,64x180,0.039173580228107525,0.00892136229511342,4.390986368703402,pre_update
run-03-C5,410047,C5,1,critic,0,16x180,0.028400670360737696,0.00770236541021604,3.687266034284538,pre_current_step_logged_after
run-03-C5,410047,C5,1,critic,1,16x180,0.04534877624481582,0.004346803452824413,10.432672361882304,pre_current_step_logged_after
run-03-C5,410047,C5,1,critic,2,16x180,0.03402981678408691,0.01428936599831191,2.3814784216533513,pre_current_step_logged_after
run-03-C5,410047,C5,1,critic,3,16x180,0.02634598461701603,0.009346914319101313,2.81868258524372,pre_current_step_logged_after
run-03-C5,410047,C5,1,critic,4,16x180,0.02388776022672389,0.006155859932218527,3.8804911888427123,pre_current_step_logged_after
run-03-C5,410047,C5,1,critic,5,16x180,0.024089282975192965,0.007328155263918313,3.2872233335177174,pre_current_step_logged_after
run-03-C5,410047,C5,1,critic,6,16x180,0.019118596053270015,0.011561174272732937,1.653689807129824,pre_current_step_logged_after
run-03-C5,410047,C5,1,critic,7,16x180,0.022118421890970696,0.010640259711583899,2.0787483097701727,pre_current_step_logged_after
run-04-C10,410047,C10,0,targets,before_all,64x180,0.09093033073352517,0.004609685523910282,19.725929298619754,pre_update
run-04-C10,410047,C10,0,critic,0,16x180,0.07507954595951329,0.004816272820408856,15.588723637366485,pre_current_step_logged_after
run-04-C10,410047,C10,0,critic,1,16x180,0.07502750067844417,0.006280805786102221,11.945521519621,pre_current_step_logged_after
run-04-C10,410047,C10,0,critic,2,16x180,0.09417063420091668,0.0036527209720262767,25.78095477921965,pre_current_step_logged_after
run-04-C10,410047,C10,0,critic,3,16x180,0.07629000367205507,0.003688942517103773,20.680724440225525,pre_current_step_logged_after
run-04-C10,410047,C10,0,critic,4,16x180,0.06129462656440996,0.0049132966757060885,12.475254520550873,pre_current_step_logged_after
run-04-C10,410047,C10,0,critic,5,16x180,0.06351808462843328,0.0032384710313442663,19.613602843335418,pre_current_step_logged_after
run-04-C10,410047,C10,0,critic,6,16x180,0.04318958532340022,0.005280457832431714,8.179136486638868,pre_current_step_logged_after
run-04-C10,410047,C10,0,critic,7,16x180,0.056871639551965586,0.005006516556159059,11.359522916587904,pre_current_step_logged_after
run-04-C10,410047,C10,1,targets,before_all,64x180,0.039173580228107525,0.00892136229511342,4.390986368703402,pre_update
run-04-C10,410047,C10,1,critic,0,16x180,0.028400670360737696,0.00770236541021604,3.687266034284538,pre_current_step_logged_after
run-04-C10,410047,C10,1,critic,1,16x180,0.04534877624481582,0.004346803452824413,10.432672361882304,pre_current_step_logged_after
run-04-C10,410047,C10,1,critic,2,16x180,0.03402981678408691,0.01428936599831191,2.3814784216533513,pre_current_step_logged_after
run-04-C10,410047,C10,1,critic,3,16x180,0.02634598461701603,0.009346914319101313,2.81868258524372,pre_current_step_logged_after
run-04-C10,410047,C10,1,critic,4,16x180,0.02388776022672389,0.006155859932218527,3.8804911888427123,pre_current_step_logged_after
run-04-C10,410047,C10,1,critic,5,16x180,0.024089282975192965,0.007328155263918313,3.2872233335177174,pre_current_step_logged_after
run-04-C10,410047,C10,1,critic,6,16x180,0.019118596053270015,0.011561174272732937,1.653689807129824,pre_current_step_logged_after
run-04-C10,410047,C10,1,critic,7,16x180,0.022118421890970696,0.010640259711583899,2.0787483097701727,pre_current_step_logged_after
run-05-C0,410047,C0,0,targets,before_all,64x180,0.09093033073352517,0.004609685523910282,19.725929298619754,pre_update
run-05-C0,410047,C0,0,critic,0,16x180,0.07507954595951329,0.004816272820408856,15.588723637366485,pre_current_step_logged_after
run-05-C0,410047,C0,0,critic,1,16x180,0.07502750067844417,0.006280805786102221,11.945521519621,pre_current_step_logged_after
run-05-C0,410047,C0,0,critic,2,16x180,0.09417063420091668,0.0036527209720262767,25.78095477921965,pre_current_step_logged_after
run-05-C0,410047,C0,0,critic,3,16x180,0.07629000367205507,0.003688942517103773,20.680724440225525,pre_current_step_logged_after
run-05-C0,410047,C0,0,critic,4,16x180,0.06129462656440996,0.0049132966757060885,12.475254520550873,pre_current_step_logged_after
run-05-C0,410047,C0,0,critic,5,16x180,0.06351808462843328,0.0032384710313442663,19.613602843335418,pre_current_step_logged_after
run-05-C0,410047,C0,0,critic,6,16x180,0.04318958532340022,0.005280457832431714,8.179136486638868,pre_current_step_logged_after
run-05-C0,410047,C0,0,critic,7,16x180,0.056871639551965586,0.005006516556159059,11.359522916587904,pre_current_step_logged_after
run-05-C0,410047,C0,1,targets,before_all,64x180,0.039173580228107525,0.00892136229511342,4.390986368703402,pre_update
run-05-C0,410047,C0,1,critic,0,16x180,0.028400670360737696,0.00770236541021604,3.687266034284538,pre_current_step_logged_after
run-05-C0,410047,C0,1,critic,1,16x180,0.04534877624481582,0.004346803452824413,10.432672361882304,pre_current_step_logged_after
run-05-C0,410047,C0,1,critic,2,16x180,0.03402981678408691,0.01428936599831191,2.3814784216533513,pre_current_step_logged_after
run-05-C0,410047,C0,1,critic,3,16x180,0.02634598461701603,0.009346914319101313,2.81868258524372,pre_current_step_logged_after
run-05-C0,410047,C0,1,critic,4,16x180,0.02388776022672389,0.006155859932218527,3.8804911888427123,pre_current_step_logged_after
run-05-C0,410047,C0,1,critic,5,16x180,0.024089282975192965,0.007328155263918313,3.2872233335177174,pre_current_step_logged_after
run-05-C0,410047,C0,1,critic,6,16x180,0.019118596053270015,0.011561174272732937,1.653689807129824,pre_current_step_logged_after
run-05-C0,410047,C0,1,critic,7,16x180,0.022118421890970696,0.010640259711583899,2.0787483097701727,pre_current_step_logged_after
run-06-C10,410081,C10,0,targets,before_all,64x180,0.08553469056932468,0.004930648888616019,17.34755252332181,pre_update
run-06-C10,410081,C10,0,critic,0,16x180,0.06202317186154919,0.005467611504356788,11.343741561032072,pre_current_step_logged_after
run-06-C10,410081,C10,0,critic,1,16x180,0.09267937145743449,0.005997470782430058,15.45307594143587,pre_current_step_logged_after
run-06-C10,410081,C10,0,critic,2,16x180,0.071683899766407,0.002962696183297237,24.19549468843232,pre_current_step_logged_after
run-06-C10,410081,C10,0,critic,3,16x180,0.06886964831038313,0.005294817084379993,13.006992916441334,pre_current_step_logged_after
run-06-C10,410081,C10,0,critic,4,16x180,0.05378473377014941,0.005730209755819135,9.386171896330673,pre_current_step_logged_after
run-06-C10,410081,C10,0,critic,5,16x180,0.05481205286086706,0.0052614175419846785,10.417734844931392,pre_current_step_logged_after
